username,songTitle,artistName,rateScore,description
Mart,Hey Jude,The Beatles,4,Een tijdloos nummer dat je altijd wilt meezingen ook al ken je de tekst niet helemaal.
Elias,Hey Jude,The Beatles,1,Dit nummer zat niet in Sonic.
Sophie,Hey Jude,The Beatles,5,Dit lied raakt me elke keer opnieuw diep van binnen. Een echte klassieker die nooit veroudert.
Lucas,Hey Jude,The Beatles,4,Mooi refrein en geweldige productie voor die tijd. Het intro duurt alleen iets te lang naar mijn smaak.
Emma,Hey Jude,The Beatles,5,The Beatles op hun allerbest. De emotie in McCartney's stem is gewoon onbetaalbaar.
Noah,Hey Jude,The Beatles,3,Ik snap de hype niet helemaal maar het is zeker geen slecht liedje. Een beetje overgewaardeerd misschien.
Lena,Hey Jude,The Beatles,4,Een fijn nummer om naar te luisteren op een rustige avond. Geeft me altijd een warm gevoel.
Milan,Hey Jude,The Beatles,2,Te lang en te repetitief voor mijn smaak. Na vier minuten had ik het wel gehoord.
Yasmine,Hey Jude,The Beatles,5,Dit is gewoon een van de mooiste liedjes ooit gemaakt. De tekst is zo simpel maar zo krachtig.
Sara,Hey Jude,The Beatles,4,Geweldig nummer. De piano geeft het zo veel karakter en zorgt voor een heel warme sfeer.
Daan,Hey Jude,The Beatles,3,Prima liedje maar niet mijn favoriet van The Beatles. Ik geef toch de voorkeur aan hun vroegere werk.
Julia,Hey Jude,The Beatles,5,Kippenvel elke keer als ik het hoor. Zo'n nummer bewijst gewoon dat muziek eeuwig kan zijn.
Mart,Bohemian Rhapsody,Queen,5,Een absoluut meesterwerk van begin tot eind. Elk onderdeel van dit nummer is perfect uitgedacht en uitgevoerd.
Elias,Bohemian Rhapsody,Queen,2,Dit nummer zat niet in Sonic. Wel de goede band.
Tom,Bohemian Rhapsody,Queen,5,Niemand maakt ooit nog zoiets. Freddie Mercury was gewoon een muzikaal genie van een andere planeet.
Sophie,Bohemian Rhapsody,Queen,5,Het beste nummer dat ooit gemaakt is. Geen discussie mogelijk. Zes minuten pure perfectie.
Lucas,Bohemian Rhapsody,Queen,4,Ongelooflijk hoe ze zoveel verschillende stijlen in één nummer hebben gestopt en toch een samenhangend geheel maken.
Daan,Bohemian Rhapsody,Queen,5,Dit nummer is het bewijs dat popmuziek échte kunst kan zijn. Freddie's stem is ongeëvenaard.
Sara,Bohemian Rhapsody,Queen,3,Knap gemaakt en zeker indrukwekkend maar ik zet het zelf niet zo snel op als ik muziek wil luisteren.
Julia,Bohemian Rhapsody,Queen,5,Dit nummer doet me altijd denken aan de film en dan moet ik bijna huilen. Rami Malek deed het recht.
Noah,Bohemian Rhapsody,Queen,4,Indrukwekkend van begin tot eind. De balladesectie vind ik persoonlijk het allermooist.
